transaction_id,timestamp,amount,status,payment_mode,settlement_status,settlement_delay_mins
TXNG100245,2026-05-29 15:47:03,872.17,SUCCESS,UPI,Settled,88
TXNG100182,2026-05-29 16:20:41,1047.52,SUCCESS,UPI,Settled,155
TXNG100126,2026-05-29 16:44:38,1073.16,SUCCESS,Wallet,Settled,142
TXNG100148,2026-05-29 23:21:17,484.32,SUCCESS,UPI,Settled,97
TXNG100043,2026-05-30 04:38:35,1328.42,SUCCESS,UPI,Settled,108
TXNG100241,2026-05-30 09:03:37,336.7,SUCCESS,Debit Card,Settled,85
TXNG100118,2026-05-30 09:33:52,513.95,SUCCESS,Net Banking,Settled,117
TXNG100088,2026-05-30 16:21:00,882.33,SUCCESS,Credit Card,Settled,105
TXNG100194,2026-05-30 19:04:49,971.1,SUCCESS,Wallet,Settled,80
TXNG100112,2026-05-30 19:17:29,1482.33,SUCCESS,Wallet,Settled,125
TXNG100263,2026-05-30 19:42:18,1077.13,SUCCESS,Wallet,Settled,75
TXNG100200,2026-05-30 20:43:20,1150.88,FAILURE,UPI,N/A,0
TXNG100171,2026-05-31 00:11:57,218.47,SUCCESS,Wallet,Settled,120
TXNG100287,2026-05-31 01:36:30,1335.67,FAILURE,Wallet,N/A,0
TXNG100250,2026-05-31 01:43:43,691.25,SUCCESS,Credit Card,Settled,128
TXNG100236,2026-05-31 02:09:07,899.41,SUCCESS,UPI,Settled,148
TXNG100216,2026-05-31 03:58:32,1387.69,SUCCESS,Wallet,Settled,74
TXNG100011,2026-05-31 04:54:03,802.4,SUCCESS,Net Banking,Settled,92
TXNG100024,2026-05-31 11:46:18,897.24,SUCCESS,Wallet,Settled,59
TXNG100104,2026-05-31 11:48:02,164.57,SUCCESS,Debit Card,Settled,70
TXNG100278,2026-05-31 18:19:40,797.57,SUCCESS,UPI,Settled,143
TXNG100077,2026-05-31 18:52:16,917.85,SUCCESS,Wallet,Settled,95
TXNG100025,2026-05-31 19:17:34,430.9,SUCCESS,Net Banking,Settled,138
TXNG100023,2026-05-31 19:31:58,1168.83,SUCCESS,Wallet,Settled,173
TXNG100063,2026-06-01 03:25:09,1145.41,SUCCESS,UPI,Settled,101
TXNG100108,2026-06-01 03:55:22,172.74,SUCCESS,UPI,Settled,102
TXNG100210,2026-06-01 04:36:59,653.84,SUCCESS,UPI,Settled,116
TXNG100003,2026-06-01 06:48:05,1005.44,SUCCESS,Wallet,Settled,55
TXNG100157,2026-06-01 11:09:58,478.81,SUCCESS,Wallet,Unsettled,166
TXNG100073,2026-06-01 11:58:26,1005.79,SUCCESS,UPI,Settled,71
TXNG100123,2026-06-01 18:29:29,734.58,SUCCESS,UPI,Settled,164
TXNG100286,2026-06-01 20:33:15,847.07,SUCCESS,Wallet,Settled,126
TXNG100266,2026-06-02 01:06:03,449.76,SUCCESS,Net Banking,Unsettled,83
TXNG100224,2026-06-02 02:39:49,360.67,SUCCESS,UPI,Settled,152
TXNG100150,2026-06-02 03:21:37,472.85,SUCCESS,UPI,Settled,91
TXNG100122,2026-06-02 06:51:13,281.31,SUCCESS,UPI,Settled,37
TXNG100160,2026-06-02 09:37:30,1246.03,SUCCESS,Wallet,Settled,111
TXNG100035,2026-06-02 10:57:32,126.04,SUCCESS,UPI,Settled,10
TXNG100208,2026-06-02 13:22:06,1348.62,SUCCESS,Wallet,Settled,128
TXNG100294,2026-06-02 14:06:01,429.31,SUCCESS,Wallet,Settled,67
TXNG100085,2026-06-02 16:51:36,937.22,SUCCESS,UPI,Settled,219
TXNG100195,2026-06-02 17:55:38,197.06,SUCCESS,UPI,Settled,168
TXNG100189,2026-06-02 20:39:17,1302.11,SUCCESS,UPI,Unsettled,84
TXNG100285,2026-06-03 00:27:33,576.25,SUCCESS,UPI,Settled,144
TXNG100134,2026-06-03 01:51:57,657.23,SUCCESS,Debit Card,Settled,182
TXNG100211,2026-06-03 03:03:59,271.85,SUCCESS,Net Banking,Settled,96
TXNG100031,2026-06-03 05:15:54,342.79,SUCCESS,UPI,Settled,177
TXNG100207,2026-06-03 19:12:24,525.61,SUCCESS,UPI,Settled,119
TXNG100113,2026-06-03 19:24:51,803.91,SUCCESS,UPI,Settled,65
TXNG100139,2026-06-04 00:58:02,1216.99,SUCCESS,UPI,Settled,220
TXNG100202,2026-06-04 01:07:21,1337.77,SUCCESS,Credit Card,Settled,62
TXNG100141,2026-06-04 03:04:18,186.99,SUCCESS,Wallet,Settled,119
TXNG100037,2026-06-04 04:02:27,1285.35,SUCCESS,UPI,Settled,86
TXNG100140,2026-06-04 05:03:29,520.28,SUCCESS,Debit Card,Settled,86
TXNG100204,2026-06-04 05:53:28,433.24,SUCCESS,UPI,Settled,133
TXNG100298,2026-06-04 05:57:57,304.83,SUCCESS,UPI,Settled,160
TXNG100248,2026-06-04 07:27:58,1005.62,SUCCESS,Credit Card,Settled,86
TXNG100229,2026-06-04 11:31:43,1362.91,SUCCESS,UPI,Settled,75
TXNG100146,2026-06-04 13:31:55,624.51,SUCCESS,UPI,Settled,84
TXNG100237,2026-06-04 13:53:01,863.38,SUCCESS,UPI,Settled,148
TXNG100175,2026-06-04 14:25:45,1465.33,SUCCESS,Debit Card,Settled,128
TXNG100205,2026-06-04 19:46:11,1497.56,SUCCESS,UPI,Settled,138
TXNG100158,2026-06-04 19:57:15,1207.54,SUCCESS,UPI,Settled,66
TXNG100196,2026-06-05 00:34:03,1100.72,SUCCESS,UPI,Settled,115
TXNG100026,2026-06-05 05:44:54,790.35,SUCCESS,Debit Card,Settled,109
TXNG100131,2026-06-05 17:15:26,138.85,SUCCESS,UPI,Settled,24
TXNG100039,2026-06-05 17:47:40,869.16,SUCCESS,UPI,Settled,153
TXNG100227,2026-06-05 21:12:47,256.11,SUCCESS,UPI,Settled,220
TXNG100067,2026-06-05 22:41:59,1371.68,SUCCESS,UPI,Settled,13
TXNG100246,2026-06-06 00:36:50,223.27,SUCCESS,UPI,Settled,116
TXNG100197,2026-06-06 01:26:18,700.28,SUCCESS,UPI,Settled,102
TXNG100186,2026-06-06 04:17:49,1028.53,SUCCESS,UPI,Settled,146
TXNG100206,2026-06-06 08:01:35,929.81,SUCCESS,Credit Card,Settled,149
TXNG100087,2026-06-06 19:09:05,933.53,SUCCESS,UPI,Settled,117
TXNG100103,2026-06-06 22:46:40,118.09,SUCCESS,Credit Card,Settled,105
TXNG100072,2026-06-07 11:07:22,737.96,SUCCESS,UPI,Settled,137
TXNG100030,2026-06-07 11:15:36,215.09,SUCCESS,UPI,Settled,31
TXNG100047,2026-06-07 13:18:01,1402.13,SUCCESS,Net Banking,Settled,69
TXNG100190,2026-06-07 13:50:45,723.7,SUCCESS,Wallet,Settled,93
TXNG100188,2026-06-07 15:12:06,616.42,SUCCESS,UPI,Settled,169
TXNG100172,2026-06-07 21:11:44,971.62,SUCCESS,UPI,Settled,107
TXNG100219,2026-06-08 01:52:12,1195.69,SUCCESS,Wallet,Settled,122
TXNG100179,2026-06-08 02:12:20,206.82,SUCCESS,UPI,Settled,115
TXNG100142,2026-06-08 03:20:52,747.59,SUCCESS,Net Banking,Settled,96
TXNG100125,2026-06-08 06:56:26,1350.19,SUCCESS,UPI,Settled,88
TXNG100038,2026-06-08 07:54:46,1479.28,SUCCESS,Wallet,Settled,116
TXNG100249,2026-06-08 10:59:06,726.03,SUCCESS,Wallet,Settled,108
TXNG100065,2026-06-08 15:32:27,1492.35,SUCCESS,UPI,Settled,155
TXNG100167,2026-06-08 15:36:45,1005.67,SUCCESS,UPI,Settled,86
TXNG100176,2026-06-08 16:22:56,849.85,SUCCESS,Credit Card,Settled,102
TXNG100130,2026-06-08 17:58:46,267.8,SUCCESS,UPI,Settled,140
TXNG100117,2026-06-08 18:54:00,953.79,SUCCESS,UPI,Settled,85
TXNG100138,2026-06-08 19:14:01,857.85,SUCCESS,Wallet,Settled,138
TXNG100133,2026-06-08 22:12:31,217.3,SUCCESS,UPI,Settled,211
TXNG100226,2026-06-08 22:26:07,683.0,SUCCESS,UPI,Settled,55
TXNG100008,2026-06-08 22:43:44,1052.65,SUCCESS,UPI,Settled,77
TXNG100155,2026-06-08 22:54:10,688.14,SUCCESS,Wallet,Settled,83
TXNG100232,2026-06-09 04:32:33,668.8,SUCCESS,UPI,Settled,127
TXNG100239,2026-06-09 05:34:25,1361.16,SUCCESS,Credit Card,Settled,143
TXNG100006,2026-06-09 06:03:43,921.99,SUCCESS,Wallet,Settled,149
TXNG100181,2026-06-09 09:22:52,695.08,SUCCESS,UPI,Settled,89
TXNG100274,2026-06-09 10:02:28,1045.86,SUCCESS,UPI,Settled,170
TXNG100093,2026-06-09 11:37:25,601.68,SUCCESS,UPI,Settled,275
TXNG100017,2026-06-09 16:14:05,995.94,SUCCESS,Net Banking,Settled,122
TXNG100256,2026-06-09 17:11:54,1287.53,SUCCESS,Credit Card,Settled,88
TXNG100056,2026-06-09 21:14:15,809.62,SUCCESS,UPI,Settled,180
TXNG100121,2026-06-09 21:14:34,643.86,SUCCESS,UPI,Settled,128
TXNG100231,2026-06-09 22:26:13,927.12,SUCCESS,UPI,Settled,121
TXNG100034,2026-06-09 23:02:20,586.79,SUCCESS,UPI,Settled,86
TXNG100012,2026-06-10 00:07:41,515.81,SUCCESS,UPI,Settled,114
TXNG100040,2026-06-10 06:27:35,763.76,SUCCESS,UPI,Settled,144
TXNG100055,2026-06-10 08:38:15,733.66,SUCCESS,Wallet,Settled,81
TXNG100214,2026-06-10 09:04:27,422.91,SUCCESS,Credit Card,Settled,178
TXNG100147,2026-06-10 09:48:30,761.3,SUCCESS,Net Banking,Settled,191
TXNG100018,2026-06-10 12:12:18,850.37,SUCCESS,UPI,Settled,115
TXNG100060,2026-06-10 14:50:56,613.97,SUCCESS,UPI,Settled,150
TXNG100174,2026-06-10 14:52:24,329.87,SUCCESS,Wallet,Settled,143
TXNG100002,2026-06-10 22:40:19,1425.59,SUCCESS,Debit Card,Settled,40
TXNG100280,2026-06-11 01:35:40,527.05,SUCCESS,UPI,Settled,177
TXNG100283,2026-06-11 03:09:37,141.83,SUCCESS,Debit Card,Settled,55
TXNG100005,2026-06-11 06:49:18,1481.97,SUCCESS,Credit Card,Settled,34
TXNG100247,2026-06-11 11:30:53,1218.99,SUCCESS,Wallet,Settled,119
TXNG100264,2026-06-11 12:41:49,1045.6,SUCCESS,UPI,Settled,176
TXNG100269,2026-06-11 17:43:58,871.49,SUCCESS,UPI,Settled,74
TXNG100014,2026-06-11 20:18:48,969.54,SUCCESS,UPI,Settled,108
TXNG100029,2026-06-11 20:30:07,416.58,SUCCESS,UPI,Settled,162
TXNG100165,2026-06-11 21:49:38,615.33,SUCCESS,Credit Card,Settled,99
TXNG100057,2026-06-12 00:04:10,914.49,SUCCESS,Wallet,Settled,124
TXNG100001,2026-06-12 01:45:42,1366.51,SUCCESS,UPI,Settled,134
TXNG100152,2026-06-12 01:50:36,710.53,SUCCESS,Credit Card,Settled,94
TXNG100290,2026-06-12 11:32:00,1263.33,SUCCESS,Wallet,Settled,130
TXNG100163,2026-06-12 22:35:44,1475.87,SUCCESS,Credit Card,Settled,86
TXNG100050,2026-06-13 05:21:42,238.33,SUCCESS,Credit Card,Settled,153
TXNG100271,2026-06-13 06:48:00,919.3,SUCCESS,UPI,Settled,233
TXNG100071,2026-06-13 08:35:07,628.53,SUCCESS,Wallet,Settled,152
TXNG100289,2026-06-13 11:39:34,179.64,SUCCESS,Wallet,Settled,183
TXNG100149,2026-06-13 12:44:39,288.02,SUCCESS,UPI,Settled,24
TXNG100092,2026-06-13 16:05:39,322.11,SUCCESS,Credit Card,Settled,112
TXNG100013,2026-06-13 18:05:13,779.61,SUCCESS,Wallet,Settled,146
TXNG100032,2026-06-13 19:45:56,771.28,SUCCESS,UPI,Settled,84
TXNG100044,2026-06-13 20:44:52,1479.23,SUCCESS,UPI,Settled,118
TXNG100288,2026-06-13 21:27:08,1165.86,SUCCESS,Wallet,Settled,171
TXNG100183,2026-06-13 22:35:15,741.41,SUCCESS,UPI,Unsettled,188
TXNG100143,2026-06-14 02:57:11,653.15,SUCCESS,UPI,Settled,46
TXNG100084,2026-06-14 08:01:56,1255.08,SUCCESS,UPI,Settled,226
TXNG100267,2026-06-14 13:20:16,1033.4,SUCCESS,UPI,Settled,164
TXNG100098,2026-06-14 14:23:57,1078.19,SUCCESS,UPI,Settled,192
TXNG100076,2026-06-14 15:35:47,284.74,SUCCESS,UPI,Settled,73
TXNG100081,2026-06-14 16:02:33,288.16,SUCCESS,Net Banking,Settled,100
TXNG100178,2026-06-14 16:53:55,526.77,SUCCESS,UPI,Settled,113
TXNG100110,2026-06-14 18:48:30,311.24,SUCCESS,UPI,Settled,156
TXNG100212,2026-06-14 20:26:05,1192.6,SUCCESS,Wallet,Settled,189
TXNG100222,2026-06-15 00:19:34,1118.22,SUCCESS,UPI,Settled,158
TXNG100209,2026-06-15 00:48:36,1147.61,SUCCESS,Debit Card,Settled,133
TXNG100115,2026-06-15 10:12:18,1455.45,SUCCESS,UPI,Settled,73
TXNG100293,2026-06-15 11:08:20,326.89,SUCCESS,Wallet,Settled,154
TXNG100120,2026-06-15 12:20:18,918.03,SUCCESS,UPI,Settled,126
TXNG100260,2026-06-15 12:27:13,674.62,SUCCESS,UPI,Settled,92
TXNG100162,2026-06-15 12:48:17,1179.08,SUCCESS,Wallet,Settled,101
TXNG100292,2026-06-15 14:13:13,717.25,SUCCESS,UPI,Settled,156
TXNG100159,2026-06-15 18:58:06,1075.1,SUCCESS,UPI,Settled,96
TXNG100295,2026-06-15 19:04:04,412.18,SUCCESS,UPI,Settled,102
TXNG100284,2026-06-15 22:36:38,838.02,SUCCESS,UPI,Settled,103
TXNG100225,2026-06-15 23:06:44,1139.07,SUCCESS,UPI,Settled,116
TXNG100164,2026-06-16 01:04:27,1433.34,SUCCESS,UPI,Settled,186
TXNG100010,2026-06-16 01:53:34,1150.42,SUCCESS,Wallet,Settled,99
TXNG100036,2026-06-16 05:48:09,888.29,SUCCESS,Wallet,Settled,124
TXNG100106,2026-06-16 09:11:12,1286.73,FAILURE,UPI,N/A,0
TXNG100054,2026-06-16 10:40:24,220.46,SUCCESS,Net Banking,Settled,113
TXNG100270,2026-06-16 11:48:16,562.53,SUCCESS,UPI,Settled,143
TXNG100094,2026-06-16 13:39:57,1293.58,SUCCESS,UPI,Settled,159
TXNG100022,2026-06-16 14:28:45,1349.23,SUCCESS,UPI,Settled,96
TXNG100276,2026-06-16 15:30:49,480.61,SUCCESS,UPI,Settled,116
TXNG100061,2026-06-16 18:33:14,1460.25,SUCCESS,UPI,Settled,146
TXNG100299,2026-06-16 19:49:03,307.65,SUCCESS,UPI,Settled,126
TXNG100100,2026-06-16 20:36:37,681.24,SUCCESS,UPI,Settled,81
TXNG100128,2026-06-16 20:43:13,272.44,SUCCESS,Credit Card,Settled,42
TXNG100253,2026-06-17 06:06:19,191.59,SUCCESS,Net Banking,Settled,103
TXNG100261,2026-06-17 06:38:53,577.87,SUCCESS,Debit Card,Settled,151
TXNG100066,2026-06-17 09:29:23,543.79,SUCCESS,Wallet,Settled,101
TXNG100015,2026-06-17 10:14:28,1158.01,SUCCESS,UPI,Settled,105
TXNG100242,2026-06-17 10:18:47,764.05,SUCCESS,Debit Card,Settled,96
TXNG100257,2026-06-17 11:35:53,1495.57,FAILURE,Debit Card,N/A,0
TXNG100099,2026-06-17 13:00:39,924.52,SUCCESS,Wallet,Unsettled,93
TXNG100116,2026-06-17 15:11:52,455.82,SUCCESS,UPI,Settled,217
TXNG100019,2026-06-17 16:13:53,519.32,SUCCESS,UPI,Settled,102
TXNG100111,2026-06-17 17:48:57,445.37,SUCCESS,UPI,Settled,87
TXNG100198,2026-06-17 18:18:11,1172.38,SUCCESS,Wallet,Settled,119
TXNG100064,2026-06-17 18:42:54,381.66,SUCCESS,UPI,Settled,206
TXNG100082,2026-06-17 18:49:34,579.84,SUCCESS,Wallet,Settled,118
TXNG100244,2026-06-17 19:00:45,852.38,SUCCESS,UPI,Settled,101
TXNG100218,2026-06-17 21:03:21,455.48,SUCCESS,UPI,Settled,184
TXNG100233,2026-06-17 22:43:15,1286.64,SUCCESS,UPI,Settled,77
TXNG100291,2026-06-17 23:27:03,505.08,SUCCESS,UPI,Settled,191
TXNG100132,2026-06-18 02:43:33,137.54,SUCCESS,UPI,Settled,214
TXNG100255,2026-06-18 03:09:35,320.3,FAILURE,Debit Card,N/A,0
TXNG100078,2026-06-18 04:42:33,986.24,SUCCESS,Debit Card,Settled,114
TXNG100166,2026-06-18 14:29:16,247.81,SUCCESS,Credit Card,Settled,133
TXNG100000,2026-06-18 14:31:38,1465.55,SUCCESS,UPI,Settled,95
TXNG100184,2026-06-18 21:04:53,1004.81,SUCCESS,UPI,Settled,113
TXNG100230,2026-06-18 21:50:04,1210.3,SUCCESS,Wallet,Settled,102
TXNG100275,2026-06-18 21:50:57,271.96,SUCCESS,UPI,Settled,151
TXNG100145,2026-06-18 22:14:14,356.37,SUCCESS,UPI,Settled,157
TXNG100203,2026-06-18 22:57:41,238.07,SUCCESS,UPI,Settled,101
TXNG100238,2026-06-18 23:51:09,917.08,FAILURE,UPI,N/A,0
TXNG100221,2026-06-19 03:01:54,1322.2,SUCCESS,Wallet,Settled,175
TXNG100296,2026-06-19 04:47:29,1458.88,SUCCESS,UPI,Settled,183
TXNG100154,2026-06-19 06:32:13,1378.99,SUCCESS,UPI,Settled,93
TXNG100136,2026-06-19 14:39:44,240.37,SUCCESS,UPI,Settled,150
TXNG100075,2026-06-19 18:14:26,464.29,SUCCESS,UPI,Settled,147
TXNG100277,2026-06-20 01:06:28,516.97,SUCCESS,UPI,Settled,71
TXNG100185,2026-06-20 03:42:07,309.44,SUCCESS,Wallet,Settled,123
TXNG100102,2026-06-20 04:24:00,896.68,FAILURE,Wallet,N/A,0
TXNG100268,2026-06-20 05:10:54,302.85,SUCCESS,UPI,Settled,71
TXNG100137,2026-06-20 09:03:40,1390.82,SUCCESS,Credit Card,Settled,62
TXNG100086,2026-06-20 09:38:56,167.11,SUCCESS,Credit Card,Settled,72
TXNG100297,2026-06-20 13:06:40,898.69,SUCCESS,UPI,Settled,111
TXNG100016,2026-06-20 13:16:15,1488.74,SUCCESS,Wallet,Settled,138
TXNG100079,2026-06-20 13:16:55,883.22,SUCCESS,Wallet,Settled,91
TXNG100105,2026-06-20 20:21:30,686.55,SUCCESS,UPI,Settled,124
TXNG100180,2026-06-20 20:25:05,1167.45,SUCCESS,UPI,Settled,88
TXNG100251,2026-06-20 20:58:28,531.4,SUCCESS,UPI,Settled,110
TXNG100240,2026-06-21 00:04:47,236.97,SUCCESS,UPI,Settled,161
TXNG100101,2026-06-21 01:57:05,557.01,SUCCESS,Wallet,Settled,164
TXNG100220,2026-06-21 02:33:14,197.96,FAILURE,UPI,N/A,0
TXNG100109,2026-06-21 05:34:16,1393.08,SUCCESS,UPI,Settled,159
TXNG100201,2026-06-21 05:34:19,759.75,SUCCESS,Wallet,Settled,147
TXNG100068,2026-06-21 11:20:30,710.6,SUCCESS,UPI,Settled,76
TXNG100114,2026-06-21 21:05:53,106.49,FAILURE,UPI,N/A,0
TXNG100282,2026-06-21 23:37:07,196.37,SUCCESS,UPI,Settled,131
TXNG100070,2026-06-21 23:46:49,786.34,SUCCESS,UPI,Settled,107
TXNG100090,2026-06-21 23:54:46,944.79,SUCCESS,UPI,Settled,140
TXNG100069,2026-06-22 01:23:37,131.79,SUCCESS,UPI,Settled,138
TXNG100262,2026-06-22 02:25:17,522.55,SUCCESS,Debit Card,Settled,73
TXNG100156,2026-06-22 02:32:45,1347.35,SUCCESS,UPI,Settled,128
TXNG100228,2026-06-22 02:33:43,498.48,SUCCESS,Wallet,Settled,50
TXNG100243,2026-06-22 06:00:14,922.99,SUCCESS,UPI,Settled,156
TXNG100051,2026-06-22 06:31:28,666.85,SUCCESS,UPI,Settled,44
TXNG100020,2026-06-22 06:40:40,853.05,SUCCESS,Wallet,Settled,46
TXNG100258,2026-06-22 07:05:04,708.5,SUCCESS,UPI,Settled,53
TXNG100252,2026-06-22 07:07:07,1200.57,SUCCESS,UPI,Unsettled,108
TXNG100004,2026-06-22 07:52:37,152.85,SUCCESS,UPI,Settled,160
TXNG100272,2026-06-22 09:40:16,1044.27,SUCCESS,Credit Card,Settled,98
TXNG100161,2026-06-22 12:19:13,938.64,SUCCESS,UPI,Unsettled,205
TXNG100144,2026-06-22 15:01:00,1108.71,SUCCESS,UPI,Unsettled,64
TXNG100089,2026-06-22 17:13:20,1244.82,SUCCESS,UPI,Settled,154
TXNG100028,2026-06-22 17:56:43,413.94,SUCCESS,Wallet,Settled,129
TXNG100107,2026-06-22 21:20:51,1409.11,SUCCESS,UPI,Settled,101
TXNG100265,2026-06-23 00:42:28,703.73,SUCCESS,UPI,Settled,192
TXNG100007,2026-06-23 01:03:55,541.0,SUCCESS,Debit Card,Settled,123
TXNG100213,2026-06-23 03:22:27,443.63,SUCCESS,Credit Card,Settled,35
TXNG100168,2026-06-23 04:20:56,348.8,SUCCESS,UPI,Settled,110
TXNG100127,2026-06-23 04:38:14,1100.74,SUCCESS,UPI,Settled,84
TXNG100192,2026-06-23 07:54:07,1147.4,SUCCESS,UPI,Settled,70
TXNG100091,2026-06-23 10:30:55,932.08,SUCCESS,UPI,Settled,160
TXNG100177,2026-06-23 15:53:16,996.11,SUCCESS,Wallet,Settled,100
TXNG100234,2026-06-24 09:35:47,670.84,SUCCESS,Credit Card,Settled,75
TXNG100074,2026-06-24 11:09:22,959.7,SUCCESS,Credit Card,Settled,137
TXNG100279,2026-06-24 21:07:47,914.83,SUCCESS,UPI,Settled,176
TXNG100046,2026-06-24 23:58:50,496.37,SUCCESS,UPI,Settled,71
TXNG100187,2026-06-25 00:53:25,1102.81,FAILURE,UPI,N/A,0
TXNG100058,2026-06-25 02:03:54,828.07,SUCCESS,UPI,Settled,132
TXNG100097,2026-06-25 02:36:11,1124.98,SUCCESS,Wallet,Settled,145
TXNG100217,2026-06-25 02:48:51,1045.27,SUCCESS,UPI,Settled,181
TXNG100053,2026-06-25 03:08:37,334.91,SUCCESS,Credit Card,Settled,126
TXNG100235,2026-06-25 03:50:01,1426.18,SUCCESS,UPI,Settled,22
TXNG100083,2026-06-25 07:17:47,261.03,SUCCESS,UPI,Settled,122
TXNG100135,2026-06-25 07:29:24,135.23,SUCCESS,Credit Card,Settled,151
TXNG100124,2026-06-25 08:04:01,834.24,SUCCESS,Credit Card,Settled,175
TXNG100009,2026-06-25 09:44:43,800.31,SUCCESS,Wallet,Settled,108
TXNG100033,2026-06-25 10:30:22,976.81,SUCCESS,UPI,Settled,175
TXNG100059,2026-06-25 17:56:30,489.83,SUCCESS,Credit Card,Settled,127
